,INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
8441,2013-076A,39483,PAYLOAD,COSMOS 2488,CIS,2013-12-25,PKMTR,,115.86,82.48,1510,1479,,,0,LARGE,9059,2013,76,A,Y,COSMOS 2488,2013-076A,39483
8442,2013-076C,39485,PAYLOAD,COSMOS 2490,CIS,2013-12-25,PKMTR,,115.86,82.48,1512,1477,,,0,LARGE,9059,2013,76,C,Y,COSMOS 2490,2013-076C,39485
8443,2014-014A,39624,PAYLOAD,SJ-11-06,PRC,2014-03-31,JSC,,98.55,98.00,700,679,,,0,LARGE,9059,2014,14,A,Y,SJ-11-06,2014-014A,39624
8444,2014-016A,39634,PAYLOAD,SENTINEL 1A,ESA,2014-04-03,FRGUI,,98.68,98.18,697,695,,,0,LARGE,9059,2014,16,A,Y,SENTINEL 1A,2014-016A,39634
8445,1987-060M,39644,DEBRIS,COSMOS 1867 COOLANT,CIS,1987-07-10,TTMTR,,100.40,65.01,789,766,,,0,SMALL,9059,1987,60,M,Y,COSMOS 1867 COOLANT,1987-060M,39644
8446,2014-024A,39731,PAYLOAD,KAZEOSAT 1,KAZ,2014-04-30,FRGUI,,99.86,98.37,753,751,,,0,LARGE,9059,2014,24,A,Y,KAZEOSAT 1,2014-024A,39731
8447,2014-028B,39762,PAYLOAD,COSMOS 2497,CIS,2014-05-23,PKMTR,,115.86,82.45,1511,1478,,,0,LARGE,9059,2014,28,B,Y,COSMOS 2497,2014-028B,39762
8448,2014-028D,39764,ROCKET BODY,BREEZE-KM R/B,CIS,2014-05-23,PKMTR,,112.19,82.44,1504,1151,,,0,LARGE,9059,2014,28,D,Y,BREEZE-KM R/B,2014-028D,39764
8449,2014-029A,39766,PAYLOAD,ALOS 2,JPN,2014-05-24,TNSTA,,97.33,97.92,632,630,,,0,LARGE,9059,2014,29,A,Y,ALOS 2,2014-029A,39766
8450,2014-029B,39767,PAYLOAD,UNIFORM 1,JPN,2014-05-24,TNSTA,,96.49,97.81,595,586,,,0,MEDIUM,9059,2014,29,B,Y,UNIFORM 1,2014-029B,39767
8451,1993-016AW,39872,DEBRIS,SL-16 DEB,CIS,1993-03-26,TTMTR,,102.89,70.98,993,798,,,0,SMALL,9059,1993,16,AW,Y,SL-16 DEB,1993-016AW,39872
8452,1993-016BL,39886,DEBRIS,SL-16 DEB,CIS,1993-03-26,TTMTR,,97.77,71.01,690,614,,,0,SMALL,9059,1993,16,BL,Y,SL-16 DEB,1993-016BL,39886
8453,1994-029AFS,39919,DEBRIS,PEGASUS DEB,US,1994-05-19,AFWTR,,99.96,81.85,946,568,,,0,SMALL,9059,1994,29,AFS,Y,PEGASUS DEB,1994-029AFS,39919
8454,1994-029AFX,39924,DEBRIS,PEGASUS DEB,US,1994-05-19,AFWTR,,97.16,81.85,703,542,,,0,SMALL,9059,1994,29,AFX,Y,PEGASUS DEB,1994-029AFX,39924
8455,1981-053MY,39938,DEBRIS,COSMOS 1275 DEB,CIS,1981-06-04,PKMTR,,105.27,83.07,1106,908,,,0,SMALL,9059,1981,53,MY,Y,COSMOS 1275 DEB,1981-053MY,39938
