,OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
25326,1989-009F,COSMOS 1999,19790,CIS,113.77,82.61,1414.0,1385.0,MEDIUM,0,1989-02-10,
25327,1989-009E,COSMOS 1998,19789,CIS,113.84,82.61,1414.0,1391.0,LARGE,0,1989-02-10,
25328,1989-009D,COSMOS 1997,19788,CIS,113.95,82.62,1415.0,1401.0,LARGE,0,1989-02-10,
25329,1989-009C,COSMOS 1996,19787,CIS,114.02,82.61,1417.0,1405.0,LARGE,0,1989-02-10,
25330,1989-009B,COSMOS 1995,19786,CIS,114.09,82.63,1417.0,1410.0,LARGE,0,1989-02-10,
25331,1989-009A,COSMOS 1994,19785,CIS,113.89,82.62,1415.0,1396.0,LARGE,0,1989-02-10,
25332,1988-095F,SL-12 R/B(2),19777,CIS,1470.31,13.25,36518.0,36389.0,LARGE,0,1988-10-20,
25333,1989-004F,SL-12 R/B(2),19776,CIS,1469.46,13.31,36536.0,36339.0,LARGE,0,1989-01-26,
25334,1989-006B,ARIANE 2 R/B,19773,FR,628.61,8.03,35345.0,514.0,LARGE,0,1989-01-27,
25335,1989-006A,INTELSAT 515,19772,ITSO,1453.07,14.95,36201.0,36035.0,LARGE,0,1989-01-27,
25336,1989-005B,SL-8 R/B,19770,CIS,100.0,74.04,762.0,755.0,LARGE,0,1989-01-26,
25337,1989-005A,COSMOS 1992,19769,CIS,100.31,74.05,789.0,757.0,LARGE,0,1989-01-26,
25338,1989-004A,GORIZONT 17,19765,CIS,1453.58,12.79,36213.0,36043.0,LARGE,0,1989-01-26,
25339,1989-001G,SL-12 R/B(AUX MOTOR),19755,CIS,338.35,65.24,18526.0,886.0,MEDIUM,0,1989-01-10,
25340,1989-001F,SL-12 R/B(2),19754,CIS,674.72,64.7,19146.0,19063.0,LARGE,0,1989-01-10,
25341,1989-001E,SL-12 DEB,19753,CIS,675.55,64.68,19191.0,19059.0,MEDIUM,0,1989-01-10,
25342,1989-001C,COSMOS 1989 (ETALON 1),19751,CIS,675.56,64.68,19186.0,19065.0,LARGE,0,1989-01-10,
25343,1989-001B,COSMOS 1988 (GLONASS),19750,CIS,675.73,64.68,19170.0,19090.0,LARGE,0,1989-01-10,
25344,1989-001A,COSMOS 1987 (GLONASS),19749,CIS,675.82,64.67,19146.0,19118.0,LARGE,0,1989-01-10,
25345,1988-111A,STTW-3,19710,PRC,1435.16,14.3,35789.0,35748.0,LARGE,0,1988-12-22,
25346,1988-109C,ARIANE 44LP R/B,19689,FR,626.3,7.11,35283.0,457.0,LARGE,0,1988-12-11,
25347,1988-109B,ASTRA 1A,19688,SES,1464.3,14.56,36392.0,36282.0,LARGE,0,1988-12-11,
25348,1988-109A,SKYNET 4B,19687,UK,1444.76,13.54,35981.0,35931.0,LARGE,0,1988-12-11,
25349,1988-108D,SL-12 R/B(2),19686,CIS,1418.48,11.78,35503.0,35380.0,LARGE,0,1988-12-10,
25350,1988-108A,EKRAN 19,19683,CIS,1489.87,14.05,36944.0,36721.0,LARGE,0,1988-12-10,
25351,1988-106B,USA 34,19671,US,,,,,,0,1988-12-02,NO LONGER ON ORBIT
25352,1970-025QC,THORAD AGENA D DEB,19667,US,112.0,99.73,1580.0,1057.0,SMALL,0,1970-04-08,
25353,1965-027AX,OPS 4682 DEB,19664,US,110.47,90.24,1271.0,1226.0,SMALL,0,1965-04-03,
25354,1988-102F,SL-16 DEB,19659,CIS,104.56,71.03,1112.0,835.0,SMALL,0,1988-11-23,
25355,1988-102E,SL-16 DEB,19658,CIS,104.73,71.02,1128.0,836.0,SMALL,0,1988-11-23,
25356,1988-102D,SL-16 DEB,19657,CIS,104.95,70.98,1146.0,839.0,SMALL,0,1988-11-23,
25357,1988-102C,SL-16 DEB,19656,CIS,104.97,70.98,1148.0,838.0,SMALL,0,1988-11-23,
25358,1988-102B,SL-16 R/B,19650,CIS,101.69,71.0,850.0,827.0,LARGE,0,1988-11-23,
25359,1988-102A,COSMOS 1980,19649,CIS,101.76,71.0,847.0,837.0,LARGE,0,1988-11-23,
25360,1978-100AM,SL-14 DEB,19646,CIS,109.1,82.14,1262.0,1108.0,SMALL,0,1978-10-26,
25361,1978-121C,SL-3 DEB,19643,CIS,101.71,81.24,887.0,792.0,SMALL,0,1978-12-23,
25362,1987-020CE,COSMOS 1823 DEB,19640,CIS,118.33,73.55,1736.0,1475.0,SMALL,0,1987-02-20,
25363,1963-047S,ATLAS CENTAUR 2 DEB,19638,US,114.79,31.01,1981.0,911.0,SMALL,0,1963-11-27,
25364,1988-099B,TITAN 34D R/B,19626,US,,,,,,0,1988-11-06,NO ELEMENTS AVAILABLE
25365,1988-099A,USA 33,19625,US,,,,,,0,1988-11-06,NO ELEMENTS AVAILABLE
25366,1988-098B,ARIANE 2 R/B,19622,FR,357.98,3.76,20412.0,233.0,LARGE,0,1988-10-28,
25367,1988-098A,TDF 1,19621,FR,1451.71,14.86,36138.0,36045.0,LARGE,0,1988-10-28,
25368,1988-096D,SL-6 R/B(2),19611,CIS,704.93,68.13,36078.0,3641.0,LARGE,0,1988-10-25,
25369,1988-096A,COSMOS 1977,19608,CIS,717.71,69.17,34114.0,6237.0,LARGE,0,1988-10-25,
25370,1984-088H,DELTA 1 DEB,19599,US,131.44,28.71,3821.0,549.0,SMALL,0,1984-08-16,
25371,1988-095A,RADUGA 22,19596,CIS,1435.07,12.13,35789.0,35744.0,LARGE,0,1988-10-20,
25372,1965-108AB,TITAN 3C TRANSTAGE DEB,19595,US,361.84,26.94,20506.0,379.0,SMALL,0,1965-12-21,
25373,1978-026HN,DELTA 1 DEB,19594,US,99.88,98.91,814.0,692.0,SMALL,0,1978-03-05,
25374,1965-027AW,OPS 4682 DEB,19593,US,111.16,90.24,1301.0,1259.0,SMALL,0,1965-04-03,
25375,1965-108AA,TITAN 3C TRANSTAGE DEB,19592,US,507.05,26.94,28847.0,523.0,MEDIUM,0,1965-12-21,
25376,1973-086HG,DELTA 1 DEB,19590,US,116.9,102.48,1578.0,1505.0,SMALL,0,1973-11-06,
25377,1978-100AL,SL-14 DEB,19580,CIS,114.6,82.65,1675.0,1200.0,SMALL,0,1978-10-26,
25378,1988-074G,SCOUT G-1 DEB,19577,US,107.05,90.53,1157.0,1024.0,SMALL,0,1988-08-25,
25379,1965-027AV,OPS 4682 DEB,19576,US,110.73,90.24,1282.0,1238.0,SMALL,0,1965-04-03,
25380,1988-093B,SL-14 R/B,19574,CIS,96.96,82.53,628.0,598.0,LARGE,0,1988-10-11,
25381,1988-093A,COSMOS 1975,19573,CIS,94.68,82.52,512.0,493.0,LARGE,0,1988-10-11,
25382,1987-020CD,COSMOS 1823 DEB,19562,CIS,103.57,74.37,975.0,880.0,SMALL,0,1987-02-20,
25383,1988-074F,SCOUT G-1 DEB,19559,US,107.03,89.36,1160.0,1018.0,SMALL,0,1988-08-25,
25384,1988-092D,SL-6 R/B(2),19557,CIS,705.45,69.34,34304.0,5441.0,LARGE,0,1988-10-03,
25385,1988-092A,COSMOS 1974,19554,CIS,718.67,69.95,31732.0,8666.0,LARGE,0,1988-10-03,
25386,1988-091D,IUS R/B(2),19550,US,1433.27,12.77,35811.0,35651.0,LARGE,0,1988-09-29,
25387,1988-091C,IUS R/B(1),19549,US,500.14,26.4,28685.0,301.0,LARGE,0,1988-09-29,
25388,1988-091B,TDRS 3,19548,US,1436.01,12.96,35959.0,35611.0,LARGE,0,1988-09-29,
25389,1988-085G,SL-12 R/B(AUX MOTOR),19537,CIS,329.73,65.11,18156.0,708.0,MEDIUM,0,1988-09-16,
25390,1988-085F,SL-12 R/B(AUX MOTOR),19535,CIS,318.19,65.08,17740.0,382.0,MEDIUM,0,1988-09-16,
25391,1988-089A,NOAA 11,19531,US,101.72,98.56,848.0,832.0,LARGE,0,1988-09-24,
25392,1965-108Z,TITAN 3C TRANSTAGE DEB,19518,US,494.2,26.22,28083.0,573.0,MEDIUM,0,1965-12-21,
25393,1988-074E,SCOUT G-1 DEB,19516,US,106.6,90.03,1134.0,1004.0,SMALL,0,1988-08-25,
25394,1988-074D,SCOUT G-1 DEB,19515,US,106.62,89.9,1140.0,1000.0,SMALL,0,1988-08-25,
25395,1973-086HF,DELTA 1 DEB,19512,US,116.58,102.4,1550.0,1504.0,SMALL,0,1973-11-06,
25396,1965-027AU,OPS 4682 DEB,19511,US,110.97,90.24,1295.0,1248.0,SMALL,0,1965-04-03,
25397,1988-086A,CS 3B,19508,JPN,1451.29,14.95,36103.0,36063.0,LARGE,0,1988-09-16,
25398,1988-085E,SL-12 R/B(2),19505,CIS,674.89,65.47,19136.0,19081.0,LARGE,0,1988-09-16,
25399,1988-085C,COSMOS 1972 (GLONASS),19503,CIS,675.73,65.53,19140.0,19120.0,MEDIUM,0,1988-09-16,
25400,1988-085B,COSMOS 1971 (GLONASS),19502,CIS,675.73,65.49,19189.0,19071.0,MEDIUM,0,1988-09-16,
25401,1988-085A,COSMOS 1970 (GLONASS),19501,CIS,675.73,65.5,19156.0,19104.0,LARGE,0,1988-09-16,
25402,1988-077C,TITAN 34D TRANSTAGE R/B,19490,US,705.76,26.14,39306.0,454.0,LARGE,0,1988-09-02,
25403,1988-081B,SBS 5,19484,US,1443.04,14.5,35951.0,35894.0,LARGE,0,1988-09-08,
25404,1988-081A,GSTAR 3,19483,US,1436.09,11.89,35811.0,35762.0,LARGE,0,1988-09-08,
25405,1968-097ET,COSMOS 252 DEB,19479,CIS,103.5,62.8,1339.0,509.0,SMALL,0,1968-11-01,
25406,1981-070L,DELTA 1 DEB,19478,US,388.31,90.69,22009.0,497.0,SMALL,0,1981-08-03,
25407,1976-126CD,COSMOS 886 DEB,19475,CIS,109.47,65.86,1807.0,597.0,SMALL,0,1976-12-27,
25408,1982-055BM,COSMOS 1375 DEB,19473,CIS,103.35,65.83,927.0,906.0,SMALL,0,1982-06-06,
25409,1988-080B,CZ-4 R/B,19468,PRC,102.58,99.03,933.0,829.0,LARGE,0,1988-09-06,
25410,1988-080A,FENGYUN 1A,19467,PRC,102.61,99.09,892.0,872.0,LARGE,0,1988-09-06,
25411,1988-078B,TITAN 2 R/B,19461,US,,,,,,0,1988-09-05,NO ELEMENTS AVAILABLE
25412,1988-078A,USA 32,19460,US,100.4,84.99,781.0,775.0,LARGE,0,1988-09-05,
25413,1988-077B,TITAN 34D R/B(1),19459,US,,,,,,0,1988-09-02,NO ELEMENTS AVAILABLE
25414,1988-077A,USA 31,19458,US,716.93,26.64,39614.0,698.0,,0,1988-09-02,
25415,1982-055BL,COSMOS 1375 DEB,19453,CIS,99.97,65.8,796.0,718.0,SMALL,0,1982-06-06,
25416,1988-016K,SL-8 DEB,19451,CIS,117.32,74.0,1660.0,1461.0,SMALL,0,1988-03-11,
25417,1978-100AH,SL-14 DEB,19450,CIS,120.18,82.55,1700.0,1678.0,SMALL,0,1978-10-26,
25418,1987-020CA,COSMOS 1823 DEB,19440,CIS,112.86,73.76,1485.0,1231.0,SMALL,0,1987-02-20,
25419,1976-067BS,COSMOS 839 DEB,19439,CIS,116.49,65.87,2068.0,977.0,SMALL,0,1976-07-08,
25420,1977-065GB,DELTA 1 DEB,19429,US,100.06,29.1,1046.0,476.0,SMALL,0,1977-07-14,
25421,1976-126CC,COSMOS 886 DEB *,19425,CIS,112.82,66.23,1610.0,1102.0,SMALL,0,1976-12-27,
25422,1970-025QA,THORAD AGENA D DEB,19422,US,105.39,100.13,1021.0,1005.0,SMALL,0,1970-04-08,
25423,1988-074C,SCOUT G-1 R/B,19421,US,107.31,90.03,1174.0,1031.0,MEDIUM,0,1988-08-25,
25424,1988-074B,OSCAR 31,19420,US,107.26,90.03,1170.0,1030.0,LARGE,0,1988-08-25,
25425,1988-074A,OSCAR 25,19419,US,107.26,90.03,1171.0,1029.0,LARGE,0,1988-08-25,
25426,1988-071D,SL-12 R/B(2),19400,CIS,1432.19,11.86,35791.0,35629.0,LARGE,0,1988-08-18,
