international_designator,norad_catalog_number,satellite_name,source,launch_date,launch_site,object_type,last_data
1978-100AT,25831.0,SL-14 DEB,CIS,1978-10-26,PLMSC,DEB,2020-01-15T13:52:06.555360
1978-100AU,25832.0,SL-14 DEB,CIS,1978-10-26,PLMSC,DEB,2024-12-24T16:09:12.456576
1979-104L,25837.0,ARIANE 1 DEB,FR,1979-12-24,FRGUI,DEB,2023-11-21T13:40:49.157760
1981-071K,25841.0,COSMOS 1285 DEB,CIS,1981-08-04,PLMSC,DEB,2011-08-21T17:47:22.658208
1966-077X,25931.0,OPS 0856 DEB,US,1966-08-19,AFWTR,DEB,2024-07-02T12:07:03.767808
1966-077Y,25932.0,OPS 0856 DEB,US,1966-08-19,AFWTR,DEB,2024-03-17T05:51:30.119040
1986-010D,25936.0,CZ-3 DEB,PRC,1986-02-01,XICLF,DEB,2023-10-06T16:48:08.783424
1999-040E,26076.0,IUS DEB,US,1999-07-23,AFETR,DEB,2025-02-03T03:04:07.548096
2000-045A,26463.0,CLUSTER II-FM5 (RUMBA),ESA,2000-08-09,TYMSC,PAY+,2025-01-27T23:14:07.875744
1982-055BP,26498.0,COSMOS 1375 DEB,CIS,1982-06-06,PLMSC,DEB,2025-02-04T14:05:42.275040
1981-021G,26505.0,COSMOS 1249 COOLANT,CIS,1981-03-05,TYMSC,DEB,2022-10-28T01:23:15.783648
1981-021M,26510.0,COSMOS 1249 COOLANT,CIS,1981-03-05,TYMSC,DEB,2024-10-08T23:39:05.179104
1981-021N,26511.0,COSMOS 1249 COOLANT,CIS,1981-03-05,TYMSC,DEB,2024-02-16T09:03:29.079360
1984-069F,26514.0,COSMOS 1579 COOLANT,CIS,1984-06-29,TYMSC,DEB,2024-04-06T16:40:24.039552
1984-069G,26515.0,COSMOS 1579 COOLANT,CIS,1984-06-29,TYMSC,DEB,2010-06-11T07:37:01.829856
1984-069H,26516.0,COSMOS 1579 COOLANT,CIS,1984-06-29,TYMSC,DEB,2022-08-31T14:35:26.748672
1984-069K,26518.0,COSMOS 1579 COOLANT,CIS,1984-06-29,TYMSC,DEB,2006-12-27T21:06:35.928000
1984-069N,26521.0,COSMOS 1579 COOLANT,CIS,1984-06-29,TYMSC,DEB,2024-05-05T12:48:26.155584
1984-069P,26522.0,COSMOS 1579 COOLANT,CIS,1984-06-29,TYMSC,DEB,2024-02-14T08:30:37.818432
1984-069Q,26523.0,COSMOS 1579 COOLANT,CIS,1984-06-29,TYMSC,DEB,2022-10-18T21:34:01.553376
1965-108AM,26526.0,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2024-10-24T05:47:29.426784
1979-104N,26532.0,ARIANE 1 DEB,FR,1979-12-24,FRGUI,DEB,2025-01-21T06:36:31.752000
1979-104P,26533.0,ARIANE 1 DEB,FR,1979-12-24,FRGUI,DEB,2021-12-09T22:56:33.697248
1979-104Q,26534.0,ARIANE 1 DEB,FR,1979-12-24,FRGUI,DEB,2024-05-03T07:27:08.639424
2000-061A,26561.0,HETE-2,US,2000-10-09,AFETR,PAY-,2024-01-05T12:10:52.970592
2000-061B,26562.0,PEGASUS R/B,US,2000-10-09,AFETR,R/B,2024-01-05T06:19:16.624704
1983-070G,26633.0,COSMOS 1481 DEB,CIS,1983-07-08,PLMSC,DEB,2002-01-18T14:13:18.784128
1984-069R,26634.0,COSMOS 1579 COOLANT,CIS,1984-06-29,TYMSC,DEB,2019-03-11T01:55:21.162720
1984-069S,26645.0,COSMOS 1579 COOLANT,CIS,1984-06-29,TYMSC,DEB,2020-02-04T01:37:03.690048
1984-069T,26646.0,COSMOS 1579 COOLANT,CIS,1984-06-29,TYMSC,DEB,2024-09-14T01:37:53.834880
1984-069U,26647.0,COSMOS 1579 COOLANT,CIS,1984-06-29,TYMSC,DEB,2016-10-15T23:38:22.435296
1984-069V,26648.0,COSMOS 1579 COOLANT,CIS,1984-06-29,TYMSC,DEB,2020-02-04T07:47:57.236928
1966-077Z,26671.0,OPS 0856 DEB,US,1966-08-19,AFWTR,DEB,2023-12-09T16:24:05.524128
1968-055F,26672.0,DELTA 1 DEB,US,1968-07-04,AFWTR,DEB,2024-01-24T06:36:55.364256
1980-050E,26675.0,COSMOS 1188 DEB,CIS,1980-06-14,PLMSC,DEB,2024-01-31T20:30:37.857312
1980-050F,26676.0,COSMOS 1188 DEB,CIS,1980-06-14,PLMSC,DEB,2021-02-12T07:23:52.922688
