International Designator,NORAD Catalog Number,Satellite Name,Source,Launch Date,Launch Site,Object Type,Last Data
1999-025DPF,35199,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2024-10-10T05:10:46.826400
1999-025DPM,35205,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2023-04-24T11:47:34.589184
1999-025DPP,35207,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2024-08-28T00:03:03.800448
1999-025DPT,35211,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2024-06-19T10:04:35.903136
1999-025DQB,35219,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2022-07-03T05:01:54.733728
1999-025DQD,35221,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2023-12-07T05:23:55.295520
1999-025DQU,35236,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2024-09-09T12:44:04.246944
1999-025DRF,35247,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2023-11-19T10:19:12.840672
1993-036AJP,35285,COSMOS 2251 DEB,CIS,1993-06-16,PLMSC,DEB,2023-12-02T10:25:24.028032
1997-051PS,35302,IRIDIUM 33 DEB,US,1997-09-14,TYMSC,DEB,2014-03-27T04:33:59.668416
1997-051PU,35304,IRIDIUM 33 DEB,US,1997-09-14,TYMSC,DEB,2009-12-15T19:21:19.268064
1991-025AG,35307,SL-12 DEB,CIS,1991-04-04,TYMSC,DEB,2011-06-24T01:42:58.336128
1991-025AK,35310,SL-12 DEB,CIS,1991-04-04,TYMSC,DEB,2012-01-07T07:12:17.947008
1991-025AP,35314,SL-12 DEB,CIS,1991-04-04,TYMSC,DEB,2014-03-20T04:07:10.824384
1999-057SC,35324,CZ-4B DEB,PRC,1999-10-14,TAISC,DEB,2011-10-01T03:51:27.899712
2001-049PT,35335,PSLV DEB,IND,2001-10-22,SRILR,DEB,2012-02-03T20:31:55.825536
2001-049PW,35338,PSLV DEB,IND,2001-10-22,SRILR,DEB,2014-04-17T05:43:20.937792
2001-049QC,35344,PSLV DEB,IND,2001-10-22,SRILR,DEB,2023-04-24T07:53:18.434976
2001-049QE,35346,PSLV DEB,IND,2001-10-22,SRILR,DEB,2022-09-07T11:51:55.860192
1988-005AC,35368,METEOR 2-17 DEB,CIS,1988-01-30,PLMSC,DEB,2024-10-14T14:44:46.009824
1982-116F,35406,METEOR 2-9 DEB,CIS,1982-12-14,PLMSC,DEB,2021-12-30T07:10:49.340352
1982-116G,35407,METEOR 2-9 DEB,CIS,1982-12-14,PLMSC,DEB,2022-11-09T12:26:34.333152
1981-043M,35424,METEOR 2-7 DEB,CIS,1981-05-14,PLMSC,DEB,2022-11-23T08:30:29.930112
1980-073J,35426,METEOR 2-6 DEB,CIS,1980-09-09,PLMSC,DEB,2023-03-24T02:51:44.810496
1972-022C,35427,METEOR 1-11 DEB,CIS,1972-03-30,PLMSC,DEB,2021-12-25T09:31:45.155424
1965-108DH,35502,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2014-08-26T01:26:06.462528
1965-108DJ,35503,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2011-05-03T13:44:27.779136
1977-047R,35504,COSMOS 917 DEB,CIS,1977-06-16,PLMSC,DEB,2024-06-06T21:31:03.133920
1979-095Z,35506,METEOR 2-5 DEB,CIS,1979-10-31,PLMSC,DEB,2024-08-06T03:43:42.160512
1981-108H,35508,COSMOS 1317 DEB,CIS,1981-10-31,PLMSC,DEB,2010-10-18T18:05:33.131616
1981-108J,35509,COSMOS 1317 DEB,CIS,1981-10-31,PLMSC,DEB,2011-02-19T15:10:50.871936
1981-108K,35510,COSMOS 1317 DEB,CIS,1981-10-31,PLMSC,DEB,2009-04-12T11:53:11.238144
1981-108L,35511,COSMOS 1317 DEB,CIS,1981-10-31,PLMSC,DEB,2013-07-05T21:45:09.525600
1981-108M,35512,COSMOS 1317 DEB,CIS,1981-10-31,PLMSC,DEB,2011-08-21T12:26:21.150240
1981-108N,35513,COSMOS 1317 DEB,CIS,1981-10-31,PLMSC,DEB,2012-06-12T16:13:45.920352
1981-108P,35514,COSMOS 1317 DEB,CIS,1981-10-31,PLMSC,DEB,2010-04-23T13:58:55.895232
1982-029N,35515,COSMOS 1348 DEB,CIS,1982-04-07,PLMSC,DEB,2014-06-06T11:22:01.085088
1987-011J,35518,COSMOS 1818 COOLANT,CIS,1987-02-01,TYMSC,DEB,2023-11-30T11:44:56.282784
1987-068CN,35519,SL-14 DEB,CIS,1987-08-18,PLMSC,DEB,2024-08-13T12:36:36.949824
1987-068CS,35523,SL-14 DEB,CIS,1987-08-18,PLMSC,DEB,2024-09-14T19:28:10.013664
1987-068CT,35524,SL-14 DEB,CIS,1987-08-18,PLMSC,DEB,2024-05-18T07:22:11.584128
1988-074Q,35527,SCOUT G-1 DEB,US,1988-08-25,AFWTR,DEB,2022-04-20T18:46:55.662816
1988-074R,35528,SCOUT G-1 DEB,US,1988-08-25,AFWTR,DEB,2023-12-10T07:09:12.256992
1988-074S,35529,SCOUT G-1 DEB,US,1988-08-25,AFWTR,DEB,2012-12-28T07:58:59.854080
2001-049QM,35537,PSLV DEB,IND,2001-10-22,SRILR,DEB,2011-04-02T03:37:00.330528
2006-006CF,35538,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2025-01-21T13:05:16.963008
2006-006CG,35539,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2010-06-26T19:38:44.027232
2006-006CH,35540,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2024-08-14T08:43:42.676032
2006-006CJ,35541,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2024-01-03T11:15:34.308576
2006-006CK,35542,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2024-12-16T07:00:35.412192
2006-006CL,35543,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2024-08-18T23:32:26.039616
2006-006CM,35544,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2023-12-10T08:32:53.406816
2006-006CP,35546,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2023-02-07T01:16:25.222944
2007-003F,35547,CZ-3A DEB,PRC,2007-02-02,XICLF,DEB,2024-07-27T04:25:37.134048
2007-003G,35548,CZ-3A DEB,PRC,2007-02-02,XICLF,DEB,2018-12-10T12:58:59.210976
2007-003H,35549,CZ-3A DEB,PRC,2007-02-02,XICLF,DEB,2025-01-22T22:46:38.670816
2007-003S,35558,CZ-3A DEB,PRC,2007-02-02,XICLF,DEB,2024-08-17T10:36:10.427904
2007-003T,35559,CZ-3A DEB,PRC,2007-02-02,XICLF,DEB,2010-10-10T14:20:00.973536
2007-003V,35561,CZ-3A DEB,PRC,2007-02-02,XICLF,DEB,2012-01-24T12:29:28.156128
2007-003W,35562,CZ-3A DEB,PRC,2007-02-02,XICLF,DEB,2011-04-30T09:31:41.296800
2007-003Y,35564,CZ-3A DEB,PRC,2007-02-02,XICLF,DEB,2022-01-10T18:41:12.435360
2007-003Z,35565,CZ-3A DEB,PRC,2007-02-02,XICLF,DEB,2009-08-11T18:22:09.181920
2007-003AA,35566,CZ-3A DEB,PRC,2007-02-02,XICLF,DEB,2011-07-21T04:12:34.000128
2007-047D,35568,DELTA 2 DEB,US,2007-10-17,AFETR,DEB,2024-06-02T02:43:13.256832
2009-009C,35577,SL-23 DEB,CIS,2009-02-26,TYMSC,DEB,2024-06-04T09:21:27.861984
1993-036ALZ,35582,COSMOS 2251 DEB,CIS,1993-06-16,PLMSC,DEB,2011-03-31T12:31:56.955072
1993-036AMT,35600,COSMOS 2251 DEB,CIS,1993-06-16,PLMSC,DEB,2022-09-22T19:38:32.972352
1997-051QX,35625,IRIDIUM 33 DEB,US,1997-09-14,TYMSC,DEB,2024-09-04T16:41:00.078720
1993-036APS,35675,COSMOS 2251 DEB,CIS,1993-06-16,PLMSC,DEB,2024-03-30T23:08:04.300224
1993-036AQE,35709,COSMOS 2251 DEB,CIS,1993-06-16,PLMSC,DEB,2024-04-25T19:09:27.924768
1993-036AQR,35720,COSMOS 2251 DEB,CIS,1993-06-16,PLMSC,DEB,2022-09-22T07:02:33.241920
1997-051RW,35743,IRIDIUM 33 DEB,US,1997-09-14,TYMSC,DEB,2012-12-26T10:33:30.545568
1997-051SA,35747,IRIDIUM 33 DEB,US,1997-09-14,TYMSC,DEB,2023-11-20T06:31:14.415168
1993-036ARJ,35764,COSMOS 2251 DEB,CIS,1993-06-16,PLMSC,DEB,2024-03-09T21:44:33.708480
1993-036ARM,35767,COSMOS 2251 DEB,CIS,1993-06-16,PLMSC,DEB,2023-04-24T03:51:55.277280
1993-036ARW,35776,COSMOS 2251 DEB,CIS,1993-06-16,PLMSC,DEB,2022-09-20T04:42:24.484608
1993-036ASF,35785,COSMOS 2251 DEB,CIS,1993-06-16,PLMSC,DEB,2022-10-09T00:15:44.861760
1993-036ASH,35787,COSMOS 2251 DEB,CIS,1993-06-16,PLMSC,DEB,2022-11-14T21:11:13.100928
